  31. Sauber               |  1896 2015-06-07
  30. Shadow-Ford          |  1904 1975-06-22
  29. Lotus F1             |  1957 2015-06-07
  28. Arrows               |  1982 1981-08-02
  27. HRT                  |  2002 2012-09-09
  26. Benetton             |  2145 1994-09-11
  25. Lotus-BRM            |  2262 1963-10-27
  24. Toro Rosso           |  2268 2012-10-14
  23. Force India          |  2478 2016-10-30
  22. Shadow               |  2517 1973-10-07
  21. Red Bull             |  2558 2012-10-14
  20. Mercedes             |  2832 2016-10-30
  19. Brabham-Repco        |  2897 1968-09-08
  18. Surtees              |  3085 1977-01-23
  17. Talbot-Lago          |  3372 1951-10-28
  16. Kurtis Kraft         |  3384 1959-05-30
  15. Brabham-Climax       |  3406 1965-10-24
  14. March-Ford           |  3477 1971-09-05
  13. Ferrari              |  3481 1953-08-23
  12. Lotus-Climax         |  3849 1963-06-09
  11. Cooper-Climax        |  3966 1960-11-20
  10. Maserati             |  4038 1958-07-06
   9. Cooper-Maserati      |  4069 1967-10-22
   8. Lotus-Ford           |  4152 1969-10-19
   7. BRM                  |  4309 1974-04-28
   6. Brabham              |  4433 1975-01-26
   5. March                |  5854 1977-08-28
   4. Tyrrell              |  6162 1991-11-03
   3. McLaren              |  6163 1991-11-03
   2. Team Lotus           |  6163 1991-11-03
   1. Williams             |  6163 1991-11-03
